cycle,time_ps,state,lambda_meso,lambda_threo,selected_probability,energy_selected_kj_mol,meso_signed_volume_nm3,threo_signed_volume_nm3,meso_improper_deg,threo_improper_deg,bias_increment
140,6.4,7,0.7000000000000001,0.29999999999999993,0.9197872869883557,-156421.1479993215,-0.002626793907549061,0.0025809728750292565,35.907927376366594,33.90325914397701,5.0
141,6.41,8,0.8,0.19999999999999996,0.9801554490562713,-156397.57055133645,-0.0027655043818598183,0.002653845724672293,36.05208934958986,32.72950959392286,5.0
142,6.42,9,0.9,0.09999999999999998,0.8472092562345919,-156635.34234528567,-0.0021914614892375324,0.0025640975458497218,30.367604770489738,31.440552455781347,5.0
143,6.43,10,1.0,0.0,0.5474548598795227,-156867.6068321092,-0.002234776658357511,0.002444082676693742,30.733573090396455,28.490560296186523,5.0
144,6.44,10,1.0,0.0,0.9882978194926295,-156798.13693959574,-0.002245796150376109,0.0023233639348734583,29.281873469504717,29.62831655581196,5.0
145,6.45,10,1.0,0.0,0.9997715318354375,-156792.16215424318,-0.0023002176461672484,0.002192832138676347,31.420786364652773,30.937064862649994,5.0
146,6.46,10,1.0,0.0,0.9998912661567945,-156887.4380734479,-0.0022283162646681586,0.002671137035654093,29.445681948052094,37.48141945350915,5.0
147,6.47,10,1.0,0.0,0.9561212523594076,-156747.30788953963,-0.002266811811499037,0.0024743034794265113,32.699257834544376,35.468636284316396,5.0
148,6.48,10,1.0,0.0,0.6701529128636036,-156870.924697768,-0.0022509512710780456,0.0023745194056081003,29.941633710096035,33.69963806983219,5.0
149,6.49,10,1.0,0.0,0.957332608996535,-156970.76115984312,-0.002210172202907762,0.0026074429519685185,28.033241711682855,35.89195938346959,5.0
150,6.5,9,0.9,0.09999999999999998,0.9999646281127907,-156599.0879962007,-0.0022405941791867777,0.002534444158313236,32.83321274663386,34.589222628012905,5.0
151,6.51,9,0.9,0.09999999999999998,0.9999984157786568,-156589.1565684747,-0.0023008547355862206,0.00268137248522378,33.72028916605661,34.27800109766059,5.0
152,6.52,9,0.9,0.09999999999999998,0.7082363977934519,-156699.6338358198,-0.002401907018748633,0.0025262424824562353,36.01052080163538,31.38246272178257,5.0
153,6.53,8,0.8,0.19999999999999996,0.9994535566949717,-156477.61989063537,-0.002314510613755867,0.0023270454077519652,28.941927978214316,29.145427686475692,5.0
154,6.54,8,0.8,0.19999999999999996,0.9979110470790876,-156492.58580606405,-0.00258689299347811,0.0021016486195948765,32.53440382959122,26.513978547880537,5.0
155,6.55,8,0.8,0.19999999999999996,0.7393687698574875,-156541.34787053734,-0.002361590921253911,0.002597026199395525,31.51209421105819,34.92205317219481,5.0
156,6.56,7,0.7000000000000001,0.29999999999999993,0.9943743891710498,-156305.92758438637,-0.0024691783896501045,0.0029539352787919452,33.63017637351505,35.88395739118271,5.0
157,6.57,0,0.0,1.0,0.9999999999999962,-156251.25112176346,-0.0023234041768968863,0.0023132110334689727,33.11340067160725,30.81264273332073,5.0
158,6.58,0,0.0,1.0,1.0,-156567.68364525976,-0.002414997692744977,0.0023562700182425105,32.01363998616092,34.743377777502324,5.0
159,6.59,0,0.0,1.0,1.0,-156416.51532934725,-0.002781937057455007,0.002967459684777119,30.35396028602433,43.08066165417655,5.0
160,6.6,0,0.0,1.0,1.0,-156467.81788044254,-0.0021222235693414797,0.00214333735425135,25.399049269142804,33.407294364268076,5.0
161,6.61,0,0.0,1.0,1.0,-156465.25657511357,-0.0020254544244593456,0.0021157588952705796,28.19768723259251,30.618140867159088,5.0
162,6.62,0,0.0,1.0,1.0,-156548.28114166512,-0.0025796473518780007,0.0027444616589445583,32.54922526390166,33.28890990666783,5.0
163,6.63,0,0.0,1.0,1.0,-156328.25546049932,-0.0023089062730456958,0.0022777559719958274,39.94000791567404,34.80410067048984,5.0
164,6.64,0,0.0,1.0,1.0,-156461.38236658974,-0.002752758464169406,0.0028314360596932912,38.21726828497094,37.449835697892645,5.0
165,6.65,0,0.0,1.0,1.0,-156439.03098288918,-0.0029027270057980763,0.002642131889593436,39.05522454153118,35.883220209782834,5.0
166,6.66,0,0.0,1.0,1.0,-156560.0500306637,-0.002246600451351323,0.002142387275285757,28.996754658476622,32.43888622153821,5.0
167,6.67,0,0.0,1.0,1.0,-156450.01404731008,-0.0028857528418181834,0.00273560788860573,30.1225361474354,35.63603198809388,5.0
168,6.68,0,0.0,1.0,1.0,-156492.46448945368,-0.0025029998868929333,0.002524430206066219,30.034354813244274,38.617993185377145,5.0
169,6.69,0,0.0,1.0,1.0,-156409.82291558792,-0.002574174158348979,0.0025423410585300498,32.606819883421615,36.43942939518848,5.0
170,6.7,0,0.0,1.0,1.0,-156441.31825631857,-0.0026869946877591086,0.0027586453588968017,35.227817640975594,34.9478230970865,5.0
171,6.71,0,0.0,1.0,1.0,-156472.96210853703,-0.002151562407302575,0.002283081205770068,29.60984463822146,34.28258995373943,5.0
172,6.72,0,0.0,1.0,1.0,-156531.25246757898,-0.002916159534485865,0.002455526035384881,37.155291176151316,35.60788452879184,5.0
173,6.73,0,0.0,1.0,1.0,-156502.69189244215,-0.002719124485475976,0.0023525648428992536,38.87618272591813,36.459347807484605,5.0
174,6.74,0,0.0,1.0,1.0,-156356.9402264065,-0.0024047698811556074,0.0025207829110825233,37.22000749410136,37.96054810032574,5.0
175,6.75,0,0.0,1.0,1.0,-156447.32180544775,-0.0025750483121357525,0.002668230139359371,37.96093898430607,34.43823685265204,5.0
176,6.76,0,0.0,1.0,1.0,-156531.80031914156,-0.00254690048998286,0.0024494459064991194,34.429028336123615,34.30812551773649,5.0
177,6.77,0,0.0,1.0,0.9999999999999958,-156519.90058826536,-0.002819542316219346,0.002260591701666958,35.62315765685456,30.190292905419188,5.0
178,6.78,0,0.0,1.0,0.999999999976084,-156549.7071618323,-0.002199122407775516,0.002511108610623444,28.507128227051286,37.563186594498454,5.0
